직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
Data Scientist,25-29,I prefer not to answer,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"5,000-7,499"
Data Scientist,40-44,Master’s degree,5-10 years,4-5 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",18-21,Bachelor’s degree,3-5 years,1-2 years,Python,R,SQL,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
Machine Learning/ MLops Engineer,22-24,Master’s degree,3-5 years,1-2 years,Python,,SQL,,C#,C++,,Javascript,,,,,,,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"1,000-1,999"
Machine Learning/ MLops Engineer,25-29,Master’s degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,, JAX , PyTorch Lightning , Huggingface ,,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,Graph Neural Networks,"125,000-149,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Doctoral degree,< 1 years,Under 1 year,Python,R,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"3,000-3,999"
Data Engineer,35-39,Master’s degree,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"1,000-1,999"
Machine Learning/ MLops Engineer,40-44,Master’s degree,5-10 years,3-4 years,Python,,,,,C++,Java,,,PHP,MATLAB,,,,,,, Fast.ai ,, LightGBM ,,,,, PyTorch Lightning ,,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
Data Engineer,35-39,Master’s degree,3-5 years,2-3 years,Python,,SQL,,,,,Javascript,,,,,,  Scikit-learn ,, Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,30-34,Doctoral degree,5-10 years,5-10 years,Python,,,C,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM ,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,Generative Adversarial Networks,,,,,"1,000-1,999"
Data Scientist,30-34,Master’s degree,3-5 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"30,000-39,999"
Data Scientist,35-39,Doctoral degree,10-20 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000-39,999"
Data Engineer,40-44,Master’s degree,5-10 years,2-3 years,Python,R,SQL,,,,Java,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"80,000-89,999"
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,5-10 years,4-5 years,Python,,,,,C++,,,,,,,,,,, PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,,,,,,
Machine Learning/ MLops Engineer,25-29,Master’s degree,3-5 years,4-5 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM ,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,Under 1 year,,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"15,000-19,999"
Data Scientist,25-29,Doctoral degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500-9,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,5-10 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,, Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"3,000-3,999"
Machine Learning/ MLops Engineer,25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,  TensorFlow ,, PyTorch ,,,,,,,,,,,,,,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,45-49,Bachelor’s degree,10-20 years,2-3 years,Python,,,C,,,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Data Scientist,30-34,Master’s degree,10-20 years,10-20 years,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,"40,000-49,999"
Data Scientist,30-34,Master’s degree,5-10 years,2-3 years,Python,,SQL,C,,C++,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,"40,000-49,999"
Data Scientist,22-24,Master’s degree,3-5 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"7,500-9,999"
Machine Learning/ MLops Engineer,25-29,Bachelor’s degree,5-10 years,5-10 years,Python,,,,,,,,Bash,,,,,  Scikit-learn ,, Keras , PyTorch ,, Xgboost , LightGBM ,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,1-3 years,1-2 years,Python,R,SQL,,,,Java,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"70,000-79,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,, Keras , PyTorch ,,,,,,,,,,,,,Bayesian Approaches,,,,,,,,,"60,000-69,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,1-3 years,1-2 years,Python,,,C,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,2-3 years,Python,,,,,C++,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000-14,999"
Data Engineer,22-24,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000-249,999"
Machine Learning/ MLops Engineer,40-44,Professional doctorate,10-20 years,10-20 years,Python,,,C,,C++,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",18-21,Bachelor’s degree,1-3 years,I do not use machine learning methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000-7,499"
Data Engineer,35-39,Some college/university study without earning a bachelor’s degree,5-10 years,Under 1 year,,,SQL,,,C++,Java,Javascript,,,MATLAB,,,,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"2,000-2,999"
Data Scientist,25-29,Professional doctorate,< 1 years,Under 1 year,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,Graph Neural Networks,"7,500-9,999"
Data Engineer,35-39,Master’s degree,5-10 years,1-2 years,Python,,,,,,,,Bash,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,
Data Engineer,40-44,Master’s degree,20+ years,2-3 years,Python,,SQL,C,,,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
Data Scientist,45-49,Doctoral degree,20+ years,5-10 years,Python,,SQL,,,C++,Java,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"200,000-249,999"
Data Scientist,35-39,Doctoral degree,10-20 years,5-10 years,Python,R,SQL,,C#,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM ,, Caret ,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"300,000-499,999"
Data Scientist,25-29,Master’s degree,1-3 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,000-49,999"
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,3-5 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,$0-999
Data Scientist,30-34,Doctoral degree,5-10 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"50,000-59,999"
Data Scientist,45-49,Master’s degree,10-20 years,5-10 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"150,000-199,999"
Data Scientist,30-34,No formal education past high school,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"1,000-1,999"
Data Scientist,55-59,Bachelor’s degree,3-5 years,2-3 years,Python,,,C,,C++,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,5-10 years,3-4 years,Python,,SQL,,C#,,,Javascript,,,,,Go,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,, LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Data Scientist,30-34,I prefer not to answer,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,30-34,Master’s degree,5-10 years,5-10 years,Python,R,SQL,,,,,Javascript,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM , CatBoost , Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"60,000-69,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
Data Engineer,35-39,Master’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Scientist,50-54,Bachelor’s degree,20+ years,10-20 years,,,,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"200,000-249,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
Data Scientist,25-29,Bachelor’s degree,3-5 years,2-3 years,Python,,,,,C++,Java,,Bash,,MATLAB,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,"1,000-1,999"
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,"20,000-24,999"
Data Scientist,30-34,Professional doctorate,5-10 years,3-4 years,Python,,SQL,C,C#,C++,,,,PHP,MATLAB,,Go,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,, CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"5,000-7,499"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,, Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,PHP,,,,,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"1,000-1,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"90,000-99,999"
Data Scientist,22-24,Bachelor’s degree,3-5 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,Recurrent Neural Networks,,,,"5,000-7,499"
Machine Learning/ MLops Engineer,25-29,Bachelor’s degree,3-5 years,3-4 years,Python,,,,,,Java,,,,,,,,, Keras , PyTorch ,,,,,,,,, Huggingface ,,,,,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Bachelor’s degree,1-3 years,I do not use machine learning methods,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000-1,999"
Data Scientist,25-29,I prefer not to answer,5-10 years,2-3 years,Python,,,C,,,,Javascript,,,,Julia,,  Scikit-learn ,,, PyTorch ,,, LightGBM ,,,,,,,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,< 1 years,Under 1 year,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,, Tidymodels ,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,I prefer not to answer,1-3 years,I do not use machine learning methods,Python,,,,,,,,,,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,20+ years,10-20 years,Python,R,SQL,,,,,,,,MATLAB,,,,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"150,000-199,999"
Data Scientist,35-39,Doctoral degree,5-10 years,4-5 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,,,,,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",,,,,,,"70,000-79,999"
Data Scientist,25-29,Master’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,3-5 years,1-2 years,Python,R,SQL,,,C++,,,,,,,,  Scikit-learn ,, Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"5,000-7,499"
Data Scientist,40-44,Doctoral degree,5-10 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"30,000-39,999"
Data Scientist,22-24,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,,"Transformer Networks (BERT, gpt-3, etc)",,,"4,000-4,999"
Data Scientist,35-39,Master’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,40-44,I prefer not to answer,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost , LightGBM ,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"5,000-7,499"
Data Scientist,35-39,Bachelor’s degree,10-20 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"1,000-1,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,I prefer not to answer,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,25-29,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,Recurrent Neural Networks,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Data Scientist,55-59,Master’s degree,3-5 years,I do not use machine learning methods,Python,,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000-1,999"
Data Scientist,25-29,No formal education past high school,< 1 years,I do not use machine learning methods,Python,R,SQL,,,C++,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,1-2 years,Python,R,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,Generative Adversarial Networks,,,,,"20,000-24,999"
Data Scientist,35-39,Bachelor’s degree,10-20 years,5-10 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM ,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"125,000-149,999"
Machine Learning/ MLops Engineer,25-29,Bachelor’s degree,1-3 years,I do not use machine learning methods,Python,R,SQL,C,,C++,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000-2,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,Javascript,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"70,000-79,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,1-3 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"20,000-24,999"
